*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Solar Charge Board production1
*Date=19:02:55
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
282;;;13.6144;-36.3804;0;Bottom;Copper Fill239
283;;;63.5254;-54.8208;0;Bottom;Copper Fill172
284;;;74.5236;-59.723;0;Bottom;Copper Fill150
285;;;41.529;-54.8208;0;Bottom;Copper Fill171
286;;;81.2546;-54.3382;0;Bottom;Copper Fill177
287;;;41.529;-35.466;0;Bottom;Copper Fill243
288;;;76.8858;-58.2244;0;Bottom;Copper Fill157
289;;;61.341;-41.1556;0;Bottom;Copper Fill218
290;;;13.6398;-56.7258;0;Bottom;Copper Fill162
291;;;29.8704;-38.1076;0;Bottom;Copper Fill158
292;;;55.2704;-90.5332;0;Bottom;Copper Fill47
293;;ptc;13.1648;-12.3957;180;Bottom;F1
294;;;40.9702;-39.2252;0;Bottom;Copper Fill222
295;;;48.1838;-46.1086;0;Bottom;Copper Fill204
296;;;89.9668;-53.0682;0;Bottom;Copper Fill178
297;;;54.9402;-82.456;0;Bottom;Copper Fill71
298;;;60.452;-64.0664;0;Bottom;Copper Fill131
299;;;59.8748;-42.8956;0;Bottom;Via27
300;;;59.8748;-34.8957;0;Bottom;Via28
301;;;49.5046;-56.0654;0;Bottom;Copper Fill164
302;;;74.5236;-70.7974;0;Bottom;Copper Fill109
303;;;81.2038;-46.1086;0;Bottom;Copper Fill207
304;100 nF;1206 [SMD, multilayer];90.3747;-32.9458;-90;Top;C40
305;;;42.9006;-20.1244;0;Bottom;Copper Fill276
306;;;44.323;-39.022;0;Bottom;Copper Fill224
307;;;90.7796;-57.2084;0;Bottom;Copper Fill163
308;;;85.5218;-70.7974;0;Bottom;Copper Fill111
309;;;82.4992;-39.8348;0;Bottom;Copper Fill229
310;100 nF;1206 [SMD, multilayer];90.3747;-48.9456;-90;Top;C30
311;;;70.8746;-50.8956;0;Bottom;Via31
312;;;59.182;-46.1086;0;Bottom;Copper Fill205
313;;;49.4792;-64.0664;0;Bottom;Copper Fill130
314;;;70.8746;-34.8958;0;Bottom;Via32
315;;;39.8018;-88.425;0;Bottom;Copper Fill52
316;100 nF;1206 [SMD, multilayer];90.3747;-40.9457;-90;Top;C35
317;;;48.6918;-18.2956;0;Bottom;Copper Fill291
318;100 nF;1206 [SMD, multilayer];73.3748;-100.846;-90;Top;C51
319;;;70.8746;-42.8957;0;Bottom;Via30
320;100 nF;1206 [SMD, multilayer];79.3749;-81.4458;-90;Top;C9
321;100 nF;1206 [SMD, multilayer];79.3749;-48.9456;-90;Top;C29
322;;;59.5884;-18.321;0;Bottom;Copper Fill292
323;;;5.64854;-56.0874;-90;Bottom;TXT1
324;;5050;63.5248;-21.4456;0;Top;RGB43
325;100 nF;1206 [SMD, multilayer];90.3747;-21.4458;-90;Top;C45
326;;;70.612;-18.3464;0;Bottom;Copper Fill293
327;;;13.5382;-98.0516;0;Bottom;Copper Fill39
